SetID	SetSize	Offset	Pvalue	gID
MICAL3	4	6050	0.00297745919881709	57553
MYO18B	3	8155	0.0253473491601788	84700
MCM5	2	5525	0.0533681735038138	4174
IL17REL	4	2369	0.166745284706354	400935
CELSR1	4	791	0.171281538688224	9620
TTC28	2	12099	0.192380711593575	23331
SLC5A4	2	10520	0.231061312131307	6527
CABIN1	2	264	0.238351231746553	23523
SMTN	2	11045	0.242120600697467	6525
MYH9	2	7628	0.277908262402594	4627
PRR14L	2	9994	0.303669213580728	253143
DGCR8	2	1842	0.52429644644223	54487
LMF2	4	3422	0.526796526496996	91289
PRODH	2	9470	0.557799875227091	5625
PACSIN2	2	8943	0.777220142773772	11252
SUSD2	2	11572	0.789931371176664	56241
TUBGCP6	2	12626	0.7902964027893	85378
