SetID	SetSize	Offset	Pvalue	gID	FDR_BH	Bonferroni
MICAL3	4	6050	0.028044541446021	57553	0.476757204582357	0.476757204582357
MCM5	2	5525	0.0794507984099293	4174	0.589928717119189	1
MYO18B	3	8155	0.112131385603808	84700	0.589928717119189	1
IL17REL	4	2369	0.138806756969221	400935	0.589928717119189	1
MYH9	2	7628	0.21226106817969	4627	0.65467371770537	1
SLC5A4	2	10520	0.231061312131307	6527	0.65467371770537	1
CABIN1	2	264	0.281354689365629	23523	0.683289959887956	1
CELSR1	4	791	0.346334442280356	9620	0.690530973770755	1
PRR14L	2	9994	0.369156280596705	253143	0.690530973770755	1
SMTN	2	11045	0.412074020021686	6525	0.690530973770755	1
TTC28	2	12099	0.454856958368075	23331	0.690530973770755	1
DGCR8	2	1842	0.487433628544062	54487	0.690530973770755	1
LMF2	4	3422	0.581363193387499	91289	0.732756628313312	1
PRODH	2	9470	0.633247954599301	5625	0.732756628313312	1
TUBGCP6	2	12626	0.646549966158805	85378	0.732756628313312	1
PACSIN2	2	8943	0.710698588211632	11252	0.755117249974859	1
SUSD2	2	11572	0.824144568992216	56241	0.824144568992216	1
